Question;Correct answer;Wrong answer 1;Wrong answer 2;Wrong answer 3
What epic poem is attributed to Homer?;The Odyssey;The Iliad;Metamorphoses;Greek Stuff
What airline uses the kangaroo logo?;Qantas;Virgin Australia;Jetstar;Flyaroo
What statistical field models uncertainty?;Bayesian statistics;Deterministic modelling;Linear algebra;Guessology
What genre features rhythmic spoken vocals?;Hip-hop;EDM;Rock;Fast Talking Music
What document tracks project risks?;Risk register;Project charter;Invoice;Worry List
What capital sits on Lake Burley Griffin?;Canberra;Sydney;Melbourne;Capital City
What pattern ensures exactly-once processing?;Idempotent processing;At-least-once delivery;Transactions;Say It Only Once
What evaluation failure leaks benchmarks into training?;Benchmark contamination;Overfitting;Data drift;Sneaky Studying
What consulting risk misaligns incentives?;Moral hazard;Scope creep;Conflict of interest;Getting Paid Anyway
What statistical concept explains mean reversion?;Regression to the mean;Central limit theorem;Law of large numbers;Stats Being Rude
What principle limits executive power in Australia?;Separation of powers;Parliamentary sovereignty;Judicial review;No Funny Business
What ML failure comes from proxy optimisation?;Objective misalignment;Overfitting;Bias;Teaching The Wrong Thing
What term describes a story within a story?;Frame narrative;Metafiction;Intertextuality;Inception Writing
What isolation level prevents phantom reads?;Serializable isolation;Repeatable read;Snapshot isolation;Ghost Protection
What consulting risk expands unpaid work?;Scope creep;Gold plating;Change request;Free Labour
What physics principle explains quantum uncertainty?;Heisenberg uncertainty principle;Wave-particle duality;Observer effect;Physics Vibes
What alignment failure exploits reward functions?;Specification gaming;Hallucination;Prompt injection;Cheating The Teacher
What Australian policy prices emissions?;Safeguard Mechanism;Carbon tax;Emissions trading;Pollution Fine Jar
What music concept explains tension and release?;Harmonic resolution;Syncopation;Modulation;Musical Blue Balls
What analytics failure leaks future labels?;Target leakage;Overfitting;Noise;Seeing The Future
What philosophical problem challenges induction?;Problem of induction;Trolley problem;Problem of evil;Why Stuff Happens
What artefact aligns stakeholders on value?;Business case;Project plan;Roadmap;Slide Deck Of Hope
What AI scaling law balances data and compute?;Chinchilla scaling laws;Moore’s law;Zipf’s law;Big Computer Go Brr
What Australian author won two Bookers?;Peter Carey;Patrick White;Richard Flanagan;Booker Collector
What process corrects DNA replication errors?;DNA proofreading;Transcription;Translation;Gene Spellcheck
What governance risk comes from opaque AI decisions?;Accountability gap;Bias;Drift;Nobody Knows Why
